player_id,finishing,heading_accuracy,short_passing,volleys,dribbling,free_kick_accuracy,long_passing,sprint_speed,balance,shot_power,stamina,interceptions,penalties,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
37280,26,72,51,30,31,28,47,34,45,45,58,62,52,6,15,7,14,12
37280,38,72,52,30,26,28,46,56,68,45,69,68,51,6,15,7,14,12
37280,38,80,52,30,26,28,46,56,68,45,69,68,51,6,15,7,14,12
37280,38,80,52,30,26,28,46,58,68,45,70,63,68,4,24,46,24,24
37280,38,80,52,30,26,28,46,58,68,45,70,63,73,4,24,46,24,24
37280,40,82,54,30,28,31,48,60,68,48,72,65,75,4,24,48,24,24
37280,40,82,69,30,28,31,59,60,68,48,72,70,75,4,24,59,24,24
37280,40,74,69,30,28,75,59,60,68,48,72,70,75,4,4,59,7,6
324910,48,67,73,41,76,23,67,86,74,59,79,72,42,12,11,6,11,10
324910,48,67,73,41,76,23,67,86,74,59,79,72,42,12,11,6,11,10
324910,48,67,73,41,76,23,67,86,74,59,79,72,42,12,11,6,11,10
324910,49,66,72,40,79,22,66,86,76,58,79,72,41,11,10,5,10,9
324910,49,66,70,40,79,22,66,88,76,58,79,72,41,11,10,5,10,9
324910,49,66,70,40,79,22,66,88,76,58,79,72,41,11,10,5,10,9
324910,49,66,70,40,79,22,63,88,76,58,79,72,41,11,10,5,10,9
324910,49,62,70,40,77,22,63,88,76,58,79,64,41,11,10,5,10,9
324910,49,62,69,40,77,22,59,86,72,58,75,64,41,11,10,5,10,9
324910,49,62,69,40,77,22,59,85,72,58,75,64,41,11,10,5,10,9
324910,49,62,69,40,77,22,59,83,68,58,75,64,41,11,10,5,10,9
324910,49,62,69,40,77,22,59,83,68,58,75,64,41,11,10,5,10,9
324910,49,62,69,40,76,22,59,83,68,58,75,64,41,11,10,5,10,9
324910,49,62,68,40,75,22,59,82,68,57,75,64,41,11,10,5,10,9
324910,49,62,68,40,75,22,59,82,68,57,75,59,41,11,10,5,10,9
324910,49,61,66,40,73,22,59,82,68,55,73,58,41,11,10,5,10,9
