,home_team_id,away_team_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,Month,Day,HmGoals,Hmassists,awGoals,awassists
2491,8191,8456,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,24155,191869.0,43252,23134,240538.0,32304,37240.0,25415.0,107280.0,46898.0,214426.0,31432,30509.0,30459.0,39027,31291.0,33991.0,36615.0,40196.0,37459.0,15403.0,37412.0,3,14,11.0,9.0,52.0,59.0
2492,8455,8466,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,170323,31306.0,23783,30627,72541.0,30613,115067.0,94086.0,128864.0,107417.0,19243.0,95336,157838.0,26552.0,160599,46010.0,166676.0,46893.0,23792.0,303339.0,94267.0,23293.0,3,15,94.0,94.0,97.0,62.0
2493,9826,10172,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,22998,146830.0,23837,23030,154271.0,28901,22929.0,198510.0,35345.0,160194.0,35523.0,36374,609733.0,24209.0,176889,245530.0,156727.0,35466.0,30367.0,47394.0,127133.0,187266.0,3,14,22.0,17.0,63.0,36.0
2494,8668,10261,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,31465,77690.0,11736,23268,24846.0,30895,101192.0,24156.0,24006.0,181276.0,30922.0,24229,104482.0,24899.0,30929,24890.0,94550.0,160243.0,39968.0,31292.0,264840.0,161420.0,3,15,81.0,101.0,108.0,80.0
2495,8197,8667,1,1,3,5,7,9,3,5,7,4,6,1,3,5,7,1,3,5,7,9,4,6,1,3,3,3,3,3,7,7,7,10,10,1,3,3,3,7,7,7,7,7,10,10,30633,67850.0,23571,38899,23818.0,214570,278343.0,30930.0,173408.0,286119.0,173461.0,32496,24531.0,35480.0,40132,111930.0,115681.0,24656.0,190872.0,357880.0,101969.0,8922.0,3,14,31.0,12.0,34.0,28.0
2496,10260,8586,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,182917,35327.0,165823,186137,161012.0,164676,34944.0,41468.0,39618.0,23354.0,30829.0,26295,159833.0,361315.0,37762,46353.0,160448.0,500520.0,166422.0,157723.0,110189.0,194165.0,3,15,37.0,50.0,245.0,177.0
2497,8472,10252,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,103428,32579.0,30362,24150,180330.0,35443,113908.0,109058.0,50189.0,32627.0,30348.0,69650,183500.0,257847.0,161414,183715.0,78324.0,160713.0,23991.0,29581.0,23264.0,148315.0,3,14,35.0,37.0,146.0,54.0
2498,10003,8650,1,2,4,6,8,3,5,7,3,5,7,1,3,5,7,2,4,6,8,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,7,7,7,7,10,10,10,30973,111800.0,193223,24948,102356.0,144996,46008.0,127130.0,157729.0,26344.0,38831.0,37868,307021.0,22764.0,94043,246575.0,47558.0,156008.0,314605.0,37234.0,51553.0,184536.0,3,16,15.0,13.0,100.0,71.0
2499,8659,10194,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,24147,169162.0,32441,33086,23257.0,25075,24148.0,24171.0,33468.0,239807.0,115160.0,46518,36786.0,40695.0,47418,37194.0,23253.0,109621.0,33881.0,39109.0,106228.0,30830.0,3,14,74.0,58.0,103.0,74.0
2500,10252,8667,1,2,4,6,8,2,4,6,8,4,6,1,3,5,7,1,3,5,7,9,5,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,7,7,7,7,7,9,11,69650,32870.0,30890,30602,93484.0,29581,182223.0,78324.0,30352.0,184360.0,23264.0,32496,24658.0,24531.0,40132,111930.0,115681.0,24656.0,21864.0,357880.0,212714.0,8922.0,8,31,30.0,36.0,116.0,69.0
2501,8191,10260,1,2,4,6,8,2,4,6,8,4,6,1,3,5,7,5,3,5,7,5,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,5,7,7,7,9,11,11,24155,191869.0,43252,23134,240538.0,37240,34437.0,25415.0,24372.0,214426.0,27568.0,182917,43248.0,186137.0,501040,24148.0,35327.0,46509.0,23354.0,41468.0,30829.0,30843.0,8,30,7.0,6.0,77.0,86.0
2502,8668,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,31465,77690.0,23268,24216,24846.0,101192,23782.0,32448.0,32705.0,26151.0,181276.0,170323,31306.0,23783.0,30627,72541.0,79574.0,115067.0,94086.0,30613.0,107417.0,19243.0,8,30,71.0,79.0,165.0,85.0
2503,8197,9825,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,37770,67850.0,210804,23571,24781.0,278343,22894.0,103419.0,214570.0,23190.0,26554.0,169718,26154.0,46539.0,35606,38521.0,75489.0,23688.0,50047.0,36378.0,37436.0,192921.0,8,31,12.0,10.0,78.0,43.0
2504,8456,10194,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,31432,26111.0,30459,39027,16351.0,26181,36615.0,101103.0,37459.0,92666.0,37412.0,46518,36786.0,40695.0,47418,37194.0,33881.0,23253.0,109621.0,106228.0,72735.0,30830.0,8,30,61.0,76.0,196.0,109.0
